avg_total_compensation,avg_base_salary,avg_ot_paid,payroll_record_count,title
89553.89694092827,78833.79535864979,16230.0479535865,474,ASSISTANT RESIDENT BUILDING SUPT
89249.29458095238,88834.02476190476,6564.810257142857,1050,CRIMINALIST
88843.9080877743,97374.00156739813,2165.0995297805644,638,CITY PLANNER
88495.3458681672,85227.34184083602,1405.677952170418,4976,OCCUPATIONAL THERAPIST
87944.27025862069,62397.73275862069,28417.057327586204,116,FORENSIC MORTUARY TECHNICIAN
87373.44080357142,87384.75,5252.078750000001,112,SUPERVISOR III
86986.40741168914,81412.27360308285,8954.619768786128,1557,STAFF NURSE
86871.10979698756,87327.26584151931,4337.36381794368,1527,COMPUTER ASSOCIATE
86667.74309751434,61152.93690248566,27867.18552581262,523,DECKHAND
86342.34303934284,68330.91223519239,14677.023687851275,2313,EMERGENCY MEDICAL SPECIALIST-PARAMEDIC
86271.96684039089,79246.62866449512,7538.369413680783,307,SUPERVISOR II
85959.88502673797,66686.98395721926,20164.349679144387,374,FIRE ALARM DISPATCHER
85848.42291666666,83064.12254901961,8099.616789215686,408,ASSISTANT HOUSING MANAGER
85819.99801724138,89119.05172413793,802.6736206896552,116,SURVEYOR
85738.71773822766,106837.6121616611,2138.9953503893216,2697,AGENCY ATTORNEY
85710.93689320388,87859.2427184466,3841.937087378641,103,SUPERVISING COMPUTER SERVICE TECHNICIAN
84972.26935294118,97515.18235294118,1440.5920588235294,170,SPEC CONSULTANT
84940.34592178771,90619.13966480448,3894.566815642458,179,PROGRAM EVALUATOR
84872.95626131221,94518.40962669683,1604.486040723982,1768,ASSOCIATE STAFF ANALYST
84653.19740939597,90497.9610738255,0.0,745,ASSISTANT PROFESSOR
84145.13796561604,67268.52722063038,24903.010372492834,349,DEPUTY CITY SHERIFF - NON-SPVR
84122.86963302751,104174.76146788991,0.0,109,LAB SPECIALIST/ASSISTANT
83931.44719557196,93450.07011070111,5006.839151291512,271,ANALYST
83150.57334928229,67891.02631578948,20276.692822966506,418,SUPERVISOR OF HOUSING CARETAKER
83141.56579474342,118614.91989987485,10.807446808510639,799,RESEARCH PROJECTS COORD
83113.97237762238,94862.84615384616,2554.2392307692307,143,SPECIAL INVESTIGATOR
82797.24878504672,94284.5046728972,4273.362710280374,107,PUBLIC HEALTH EMERGENCY PREPAREDNESS SPECIALIST
81992.9006923077,84809.61025641026,0.0,780,LECTURER
81759.17977099237,82752.98473282442,1006.7575572519083,131,IT ASSOCIATE
81162.03354231975,68258.52037617555,19340.00178683386,319,SUPERVISING HOUSING GROUNDSKEEPER
81081.85321100918,86117.26605504587,169.88550458715596,109,EDUCATION ANALYST
80922.2894619666,85568.57699443413,900.226586270872,539,MANAGEMENT AUDITOR
80231.84406869221,67482.27080581241,11440.149762219286,757,SUPERVISOR I
80196.25517730496,55488.063829787236,15340.693758865247,141,BRIDGE OPERATOR
80163.369009901,80385.23762376238,2611.685247524753,101,ASSOCIATE SCHOOL FOOD SERVICE MANAGER
79472.31234482757,85848.8551724138,0.0,145,LECTURER/DOCTORAL SCHEDULE
79299.49717391306,75587.05217391305,2422.7762608695652,230,SUPERVISING PUBLIC HEALTH ADVISER
79188.23493975903,81063.86144578313,7763.582469879518,166,ASSISTANT ELECTRICAL ENGINEER
79028.91895604396,86807.87912087912,2385.057967032967,182,HOUSING DEVELOPMENT SPECIALIST
78929.13595238097,80636.59523809524,1645.3348412698413,126,PUBLIC HEALTH EPIDEMIOLOGIST
78724.43214755296,83881.45361577794,21.374864864864865,1369,HIGHER EDUCATION ASSISTANT
78231.8449103139,71226.75784753363,15003.731300448431,446,TRAFFIC DEVICE MAINTAINER
78090.98143939395,81268.43181818182,1397.2341666666666,132,GRAPHIC ARTIST
78065.30910828026,85554.54777070064,1241.6299363057326,157,ASSISTANT ARCHITECT
78051.6425388601,98886.42487046632,470.46740932642484,193,CONFIDENTIAL STRATEGY PLANNER
77985.82126760563,65732.4207746479,15588.623080985915,568,SUPERVISING SPECIAL OFFICER
77860.0763507109,69076.82938388626,10424.20383886256,211,HIGHWAYS AND SEWERS INSPECTOR
77677.10078014185,70796.37588652482,13892.650283687943,141,RACKETS INVESTIGATOR - START >4-24-08 NO ABC
77403.33737451737,73714.48262548262,7877.289034749035,259,RECREATION SUPERVISOR
77396.19395721925,87258.64705882352,447.67229946524066,187,CONSULTANT
76778.19067073171,64598.20731707317,16370.91268292683,164,TRAINER ASSISTANT
76683.72713080168,80541.5358649789,4186.159071729958,237,ASSISTANT MECHANICAL ENGINEER
76598.06968586388,76971.32460732984,8581.319685863875,191,CLIMBER & PRUNER
76176.10931506849,69180.77168949772,14212.977716894979,219,ENGINEERING TECHNICIAN
75446.21605797102,82218.01449275362,1172.027391304348,345,ASSISTANT PLAN EXAMINER
75385.8513414634,84358.62804878049,1402.7459146341464,164,ASSOCIATE CONTRACT SPECIALIST
75319.55864516129,82893.25806451614,0.0,155,LEGISLATIVE ASSISTANT
75221.63390350877,78064.44736842105,2450.618552631579,228,SCIENTIST
74743.06964705882,57814.9,19113.839117647058,170,SENIOR VOTING MACHINE TECHNICIAN
74619.12852813854,90017.34632034632,1778.644632034632,231,ASSOCIATE LABORATORY MICROBIOLOGIST
74120.87941520469,77963.432748538,0.0,171,SENIOR COLLEGE LAB TECH
73973.64503649635,78397.40875912408,2114.8898540145983,274,PROTECTION AGENT
73612.96869639795,78316.15608919383,1796.9924699828473,583,ACCOUNTANT
73550.04565349544,77380.69300911853,0.0,329,COUNCIL MEMBER AIDE
73449.81199004974,85795.5472636816,2976.1182587064677,201,PROJECT MANAGER
73096.26013947002,72745.68066945607,5225.413361227336,717,ASSOCIATE RETIREMENT BENEFITS EXAMINER
72382.07533141211,90323.34293948127,1062.48939481268,347,CYBER SECURITY ANALYST
72257.69564853556,81185.15481171547,3551.3422454672245,717,ASSISTANT CIVIL ENGINEER
72190.23505735141,58825.825860271114,15194.733180396246,959,ASSOCIATE TRAFFIC ENFORCEMENT AGENT
72172.76756097561,78646.87804878049,2749.5566666666664,123,ASSISTANT ENVIRONMENTAL ENGINEER
71926.37569124425,58313.53456221198,14964.265622119816,434,HEATING PLANT TECHNICIAN
71768.90671140939,83329.04026845637,1491.2714765100673,149,ECONOMIST
71517.2732936508,65236.78968253968,7834.295873015873,252,ASSOCIATE URBAN PARK RANGER
70939.66624137931,74595.24137931035,3641.3536896551727,290,ASSOCIATE INVESTIGATOR
70849.14671512284,69867.82237435204,4736.2303437006985,8874,PRINCIPAL ADMINISTRATIVE ASSOCIATE - NON SUPVR
70794.1725,81373.61,3549.0457,100,CORRECTIONAL STANDARDS REVIEW SPECIALIST
70534.16014908257,63552.62041284404,9016.75002293578,872,FRAUD INVESTIGATOR
70402.91148255813,67552.21511627907,4895.574156976744,344,CHILD WELFARE SPECIALIST
70347.74784313726,79886.38562091504,5672.01591503268,306,EMERGENCY PREPAREDNESS SPECIALIST
70101.58943722944,59498.71428571428,13049.304805194806,231,ADMINISTRATIVE ASSISTANT
68603.41194915255,61928.627118644064,6524.898220338983,118,WORKER'S COMPENSATION BENEFITS EXAMINER
67784.13669354838,63555.82258064516,11104.441451612904,124,CAMPUS PUBLIC SAFETY SERGEANT
67526.36329096045,75958.41525423729,175.6781920903955,708,CITY TAX AUDITOR
67257.7729070691,76730.00586735504,2185.8098840349485,12590,COMMUNITY COORDINATOR
66766.36833333333,78255.27627737226,1341.460401459854,822,PROCUREMENT ANALYST
66445.7639090909,52980.336363636365,3852.3042727272723,110,ASSOCIATE SANITATION ENFORCEMENT AGENT
66325.48222222221,65271.20576131687,6223.316316872428,486,EVIDENCE AND PROPERTY CONTROL SPECIALIST
66103.44153558052,68885.01685393258,2381.3835580524346,534,SCHOOL COMPUTER TECHNOLOGY SPECIALIST
65740.86371428572,62405.885714285716,7236.780666666667,105,TRAFFIC CONTROL INSPECTOR
65607.13727272727,76457.10235690235,1617.2860067340068,1485,STAFF ANALYST
65215.08553333333,76837.23555555556,816.7089111111111,450,CONFIDENTIAL INVESTIGATOR
65088.62804878049,62873.577235772354,3963.208455284553,123,HOUSING EXTERMINATOR-AL II & III
64970.059411764705,71931.19607843137,5045.002843137256,102,INDUSTRIAL HYGIENIST
64669.82021459227,62394.723175965664,7351.07135193133,466,ASSISTANT CITY HIGHWAY REPAIRER
64058.529661016946,73204.22881355933,0.0,118,CUNY START INSTRUCTOR
63870.714846625764,70923.93865030675,1321.2637423312883,163,PUBLIC HEALTH EDUCATOR
63765.45594965675,55229.356979405035,11796.010778032036,437,MOTOR VEHICLE OPERATOR
63260.41197674418,74945.60930232558,4184.80565116279,860,INSPECTOR CONSTRUCTION
63141.51945736434,70988.33333333333,779.0478294573643,129,SR HEALTHCARE PROG PLAN ANLYST
63132.232993630576,67928.0127388535,0.0,157,COLLEGE LAB TECHNICIAN
62659.8002,69139.35,0.0,100,CLIP INSTRUCTOR
62615.84959916555,70838.75234689316,0.0,6711,SCHOOL SECRETARY
61789.972890625,72462.2890625,456.06875,128,FORESTER
61522.36730888751,55806.78216283406,12207.787551274085,3218,BENEFITS OPPORTUNITY SPECIALIST
61341.57842105263,65990.42105263157,3266.048223684211,152,QUALITY ASSURANCE SPECIALIST
61071.915072992706,51601.96350364963,15205.069379562043,274,VOTING MACHINE TECHNICIAN
61058.97038961039,62598.06493506493,5290.352987012987,154,MEDIA SERVICES TECHNICIAN
61028.46408,63996.976,3747.81488,250,CLAIM SPECIALIST
